"","coef","pVal"
"Intercept",-2.49,0
"log age",0.09,0
"log size",-0.02,0.3
"log devs",0.14,0
"log commits",1.04,0
"C",0.1,0.331
"C#",0.09,0.408
"C++",-0.04,0.686
"Clojure",-0.17,0.129
"Coffeescript",0.18,0.092
"Erlang",0.08,0.438
"Go",0.17,0.127
"Haskell",-0.21,0.074
"Java",-0.11,0.337
"Javascript",0.06,0.571
"Objective-C",-0.03,0.764
"Perl",-0.01,0.945
"Php",-0.02,0.828
"Python",-0.01,0.915
"Ruby",-0.05,0.667
"Scala",-0.23,0.038
"Typescript",0.19,0.091
