"","coef"
"Intercept",-2.55
"log age",0.14
"log size",-0.01
"log devs",0.16
"log commits",1.01
"C",0.23
"C++",0.18
"Clojure",-0.33
"Coffeescript",0.24
"Erlang",-0.08
"Go",0.07
"Haskell",-0.24
"Java",-0.22
"Javascript",-0.17
"Objective-C",0.11
"Perl",0.1
"Php",0.08
"Python",0.01
"Ruby",0.08
"Scala",0.05
"Typescript",-0.11
