"","coef","pVal"
"Intercept",-2.3,0
"log age",0.1,0
"log size",-0.03,0.016
"log devs",0.11,0
"log commits",1.04,0
"C",0.22,0.017
"C#",-0.09,0.337
"C++",0.29,0.001
"Clojure",-0.35,0
"Coffeescript",0.23,0.013
"Erlang",0,0.97
"Go",-0.02,0.825
"Haskell",-0.32,0.002
"Java",0.03,0.722
"Javascript",-0.11,0.285
"Objective-C",0.01,0.912
"Perl",-0.06,0.533
"Php",0.23,0.015
"Python",-0.07,0.443
"Ruby",0.01,0.925
"Scala",-0.21,0.027
"Typescript",0.21,0.031
