"","coef","pVal"
"Intercept",-2.3,0
"log age",0.06,0
"log size",-0.03,0.051
"log devs",0.17,0
"log commits",1.06,0
"C",0.31,0.002
"C#",0.04,0.704
"C++",0.22,0.031
"Clojure",-0.28,0.008
"Coffeescript",-0.03,0.782
"Erlang",0.14,0.178
"Go",0.31,0.003
"Haskell",-0.32,0.003
"Java",-0.17,0.106
"Javascript",0,0.999
"Objective-C",0.04,0.712
"Perl",0.11,0.299
"Php",-0.05,0.595
"Python",0.19,0.061
"Ruby",-0.34,0.002
"Scala",-0.45,0
"Typescript",0.3,0.003
