"","coef","pVal"
"Intercept",-2.52,0
"log age",0.09,0
"log size",-0.02,0.166
"log devs",0.12,0
"log commits",1.06,0
"C",0.13,0.225
"C#",0.06,0.581
"C++",0.13,0.214
"Clojure",-0.37,0.001
"Coffeescript",0.1,0.349
"Erlang",0.07,0.52
"Go",0.12,0.241
"Haskell",-0.26,0.015
"Java",-0.16,0.136
"Javascript",-0.09,0.422
"Objective-C",0.1,0.368
"Perl",-0.08,0.454
"Php",0.04,0.693
"Python",0.07,0.499
"Ruby",0.25,0.014
"Scala",-0.24,0.034
"Typescript",0.14,0.206
