"","coef"
"Intercept",-2.75
"log age",0.19
"log size",-0.04
"log devs",0.17
"log commits",1.04
"C",0.02
"C++",0.04
"Clojure",-0.06
"Coffeescript",0.12
"Erlang",0.08
"Go",0.13
"Haskell",-0.07
"Java",-0.07
"Javascript",-0.02
"Objective-C",-0.03
"Perl",-0.22
"Php",0.04
"Python",-0.02
"Ruby",-0.11
"Scala",-0.12
"Typescript",0.3
