"","coef","pVal"
"Intercept",-2.45,0
"log age",0.12,0
"log size",-0.03,0.019
"log devs",0.11,0
"log commits",1.04,0
"C",0.09,0.399
"C#",0.13,0.221
"C++",0.08,0.462
"Clojure",-0.17,0.109
"Coffeescript",-0.02,0.854
"Erlang",-0.01,0.945
"Go",0.26,0.011
"Haskell",-0.14,0.184
"Java",-0.05,0.654
"Javascript",0.01,0.912
"Objective-C",0.16,0.122
"Perl",-0.07,0.526
"Php",-0.08,0.425
"Python",0.01,0.958
"Ruby",-0.06,0.576
"Scala",-0.28,0.01
"Typescript",0.15,0.166
