"","coef"
"Intercept",-2.72
"log age",0.18
"log size",-0.03
"log devs",0.2
"log commits",1.01
"C",0.18
"C++",0
"Clojure",-0.26
"Coffeescript",0.26
"Erlang",-0.04
"Go",0.13
"Haskell",-0.3
"Java",-0.11
"Javascript",-0.02
"Objective-C",0.02
"Perl",0.04
"Php",0.13
"Python",-0.2
"Ruby",0.04
"Scala",-0.1
"Typescript",0.24
